/u/k/a/karu/courses/cs552/spring2009/handouts/testprograms/public/rand_ldst/ldld.asm SUCCESS CPI:4.5 CYCLES:313 ICOUNT:70 IHITRATE: 98.1 DHITRATE: 72.7
/u/k/a/karu/courses/cs552/spring2009/handouts/testprograms/public/rand_ldst/ldld_rand_large.asm SUCCESS CPI:2.3 CYCLES:2707 ICOUNT:1183 IHITRATE: 99.8 DHITRATE: 96.8
/u/k/a/karu/courses/cs552/spring2009/handouts/testprograms/public/rand_ldst/ldld_rand_large_1.asm SUCCESS CPI:2.2 CYCLES:2597 ICOUNT:1183 IHITRATE: 99.8 DHITRATE: 98.1
/u/k/a/karu/courses/cs552/spring2009/handouts/testprograms/public/rand_ldst/ldld_rand_large_2.asm SUCCESS CPI:2.1 CYCLES:2467 ICOUNT:1183 IHITRATE: 99.8 DHITRATE: 99.5
/u/k/a/karu/courses/cs552/spring2009/handouts/testprograms/public/rand_ldst/ldld_rand_large_3.asm SUCCESS CPI:2.2 CYCLES:2567 ICOUNT:1183 IHITRATE: 99.8 DHITRATE: 98.4
/u/k/a/karu/courses/cs552/spring2009/handouts/testprograms/public/rand_ldst/ldld_rand_large_4.asm SUCCESS CPI:2.3 CYCLES:2687 ICOUNT:1183 IHITRATE: 99.8 DHITRATE: 97.1
/u/k/a/karu/courses/cs552/spring2009/handouts/testprograms/public/rand_ldst/ldld_rand_large_5.asm SUCCESS CPI:2.3 CYCLES:2707 ICOUNT:1183 IHITRATE: 99.8 DHITRATE: 96.8
/u/k/a/karu/courses/cs552/spring2009/handouts/testprograms/public/rand_ldst/ldld_rand_large_6.asm SUCCESS CPI:2.3 CYCLES:2697 ICOUNT:1183 IHITRATE: 99.8 DHITRATE: 96.9
/u/k/a/karu/courses/cs552/spring2009/handouts/testprograms/public/rand_ldst/ldld_rand_large_7.asm SUCCESS CPI:2.3 CYCLES:2757 ICOUNT:1183 IHITRATE: 99.8 DHITRATE: 96.3
/u/k/a/karu/courses/cs552/spring2009/handouts/testprograms/public/rand_ldst/ldld_rand_large_8.asm SUCCESS CPI:2.2 CYCLES:2607 ICOUNT:1183 IHITRATE: 99.8 DHITRATE: 98.0
/u/k/a/karu/courses/cs552/spring2009/handouts/testprograms/public/rand_ldst/ldld_rand_large_9.asm SUCCESS CPI:2.2 CYCLES:2587 ICOUNT:1183 IHITRATE: 99.8 DHITRATE: 98.2
/u/k/a/karu/courses/cs552/spring2009/handouts/testprograms/public/rand_ldst/ldld_rand_small.asm SUCCESS CPI:2.3 CYCLES:2707 ICOUNT:1183 IHITRATE: 99.8 DHITRATE: 96.8
/u/k/a/karu/courses/cs552/spring2009/handouts/testprograms/public/rand_ldst/ldld_rand_small_1.asm SUCCESS CPI:2.2 CYCLES:2597 ICOUNT:1183 IHITRATE: 99.8 DHITRATE: 98.1
/u/k/a/karu/courses/cs552/spring2009/handouts/testprograms/public/rand_ldst/ldld_rand_small_2.asm SUCCESS CPI:2.1 CYCLES:2467 ICOUNT:1183 IHITRATE: 99.8 DHITRATE: 99.5
/u/k/a/karu/courses/cs552/spring2009/handouts/testprograms/public/rand_ldst/ldld_rand_small_3.asm SUCCESS CPI:2.2 CYCLES:2567 ICOUNT:1183 IHITRATE: 99.8 DHITRATE: 98.4
/u/k/a/karu/courses/cs552/spring2009/handouts/testprograms/public/rand_ldst/ldld_rand_small_4.asm SUCCESS CPI:2.3 CYCLES:2687 ICOUNT:1183 IHITRATE: 99.8 DHITRATE: 97.1
/u/k/a/karu/courses/cs552/spring2009/handouts/testprograms/public/rand_ldst/ldld_rand_small_5.asm SUCCESS CPI:2.3 CYCLES:2707 ICOUNT:1183 IHITRATE: 99.8 DHITRATE: 96.8
/u/k/a/karu/courses/cs552/spring2009/handouts/testprograms/public/rand_ldst/ldld_rand_small_6.asm SUCCESS CPI:2.3 CYCLES:2697 ICOUNT:1183 IHITRATE: 99.8 DHITRATE: 96.9
/u/k/a/karu/courses/cs552/spring2009/handouts/testprograms/public/rand_ldst/ldld_rand_small_7.asm SUCCESS CPI:2.3 CYCLES:2757 ICOUNT:1183 IHITRATE: 99.8 DHITRATE: 96.3
/u/k/a/karu/courses/cs552/spring2009/handouts/testprograms/public/rand_ldst/ldld_rand_small_8.asm SUCCESS CPI:2.2 CYCLES:2607 ICOUNT:1183 IHITRATE: 99.8 DHITRATE: 98.0
/u/k/a/karu/courses/cs552/spring2009/handouts/testprograms/public/rand_ldst/ldld_rand_small_9.asm SUCCESS CPI:2.2 CYCLES:2587 ICOUNT:1183 IHITRATE: 99.8 DHITRATE: 98.2
/u/k/a/karu/courses/cs552/spring2009/handouts/testprograms/public/rand_ldst/ldst.asm SUCCESS CPI:3.3 CYCLES:378 ICOUNT:114 IHITRATE: 98.1 DHITRATE: 86.4
/u/k/a/karu/courses/cs552/spring2009/handouts/testprograms/public/rand_ldst/ldst_rand_large.asm SUCCESS CPI:2.0 CYCLES:3046 ICOUNT:1492 IHITRATE: 99.6 DHITRATE: 91.4
/u/k/a/karu/courses/cs552/spring2009/handouts/testprograms/public/rand_ldst/ldst_rand_large_1.asm SUCCESS CPI:1.7 CYCLES:2506 ICOUNT:1492 IHITRATE: 99.5 DHITRATE: 97.4
/u/k/a/karu/courses/cs552/spring2009/handouts/testprograms/public/rand_ldst/ldst_rand_large_2.asm SUCCESS CPI:1.7 CYCLES:2466 ICOUNT:1492 IHITRATE: 99.5 DHITRATE: 97.9
/u/k/a/karu/courses/cs552/spring2009/handouts/testprograms/public/rand_ldst/ldst_rand_large_3.asm SUCCESS CPI:1.7 CYCLES:2566 ICOUNT:1492 IHITRATE: 99.6 DHITRATE: 96.8
/u/k/a/karu/courses/cs552/spring2009/handouts/testprograms/public/rand_ldst/ldst_rand_large_4.asm SUCCESS CPI:1.7 CYCLES:2466 ICOUNT:1492 IHITRATE: 99.5 DHITRATE: 97.9
/u/k/a/karu/courses/cs552/spring2009/handouts/testprograms/public/rand_ldst/ldst_rand_large_5.asm SUCCESS CPI:2.0 CYCLES:2966 ICOUNT:1492 IHITRATE: 99.6 DHITRATE: 92.3
/u/k/a/karu/courses/cs552/spring2009/handouts/testprograms/public/rand_ldst/ldst_rand_large_6.asm SUCCESS CPI:1.9 CYCLES:2766 ICOUNT:1492 IHITRATE: 99.6 DHITRATE: 94.5
/u/k/a/karu/courses/cs552/spring2009/handouts/testprograms/public/rand_ldst/ldst_rand_large_7.asm SUCCESS CPI:1.9 CYCLES:2766 ICOUNT:1492 IHITRATE: 99.6 DHITRATE: 94.5
/u/k/a/karu/courses/cs552/spring2009/handouts/testprograms/public/rand_ldst/ldst_rand_large_8.asm SUCCESS CPI:2.0 CYCLES:2986 ICOUNT:1492 IHITRATE: 99.6 DHITRATE: 92.0
/u/k/a/karu/courses/cs552/spring2009/handouts/testprograms/public/rand_ldst/ldst_rand_large_9.asm SUCCESS CPI:1.7 CYCLES:2486 ICOUNT:1492 IHITRATE: 99.5 DHITRATE: 97.6
